description,price,address,images,sourceUrl,source,listedDate,governorate,originalArea,area,pricePerSqFt,propertyType,zoning,originalPrice,coordinates,image_list,nearWater,roadAccess,utilities
A louer appartement s1 haut standing jamais habitée a cité el wahatt Ain zaghouan,950,"Tunis, il y a 28 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=62/62005d49-2baa-4377-a528-d021fde8b242&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/680622dac5beda2b51cbdd2a/Appartements/Tunis/L_Aouina/A_louer_appartement_s1_haut_standing_jamais_habite_a_cit_el_wahatt_Ain_zaghouan/,tayara.tn,2025-04-21,Tunis,,,,autre,residential,950 DT,"[10.188531785572154, 36.807178143477714]",['https://www.tayara.tn/mediaGateway/resize-image?img=62/62005d49-2baa-4377-a528-d021fde8b242&w=300'],False,True,True
à louer appartement studio meublé s1 ennasr location par jour nuitée,70,"Tunis, il y a 28 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=24/24154a60-25ca-4b5f-8449-5074eaec1d06&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/680622d7c5beda2b51cbdd25/Locations%20de%20vacances/Tunis/El_Menzah_9/_louer_appartement_studio_meubl_s1_ennasr_location_par_jour_nuite_/,tayara.tn,2025-04-21,Tunis,,,,autre,residential,70 DT,"[10.174314737357273, 36.80985128749629]",['https://www.tayara.tn/mediaGateway/resize-image?img=24/24154a60-25ca-4b5f-8449-5074eaec1d06&w=300'],False,True,True
duplex a ksar said wb1283,130000,"Tunis, il y a 28 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=b6/b66bbec3-4b30-4b03-9ce2-09d72acd7725&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/680622d7c5beda2b51cbdd26/Maisons%20et%20Villas/Tunis/Ksar_Said/duplex_a_ksar_said_wb1283/,tayara.tn,2025-04-21,Tunis,,,,autre,unknown,130 000 DT,"[10.176796494263634, 36.815200301126396]",['https://www.tayara.tn/mediaGateway/resize-image?img=b6/b66bbec3-4b30-4b03-9ce2-09d72acd7725&w=300'],False,True,True
studio meublé a el manzah 9c wb4137,700,"Tunis, il y a 28 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=31/31f6f180-1614-4e4b-945d-bf91256be61e&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/680622d5c1f8f57898ddd0ed/Maisons%20et%20Villas/Tunis/El_Menzah_9/studio_meubl_a_el_manzah_9c_wb4137/,tayara.tn,2025-04-21,Tunis,,,,autre,residential,700 DT,"[10.18519065975086, 36.81199162127963]",['https://www.tayara.tn/mediaGateway/resize-image?img=31/31f6f180-1614-4e4b-945d-bf91256be61e&w=300'],False,True,True
A vendre S+2 Ennasr sur l'avenue Hedi Nouira,250000,"Ariana, il y a 29 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=c3/c356d3b0-0c88-4a94-97b7-2eb23a4e1532&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/68062294c5beda2b51cbdccc/Appartements/Ariana/Cit_Ennasr_2/A_vendre_S2_Ennasr_sur_lavenue_Hedi_Nouira/,tayara.tn,2025-04-21,Ariana,,,,autre,unknown,250 000 DT,"[10.1864592238547, 36.85638629786197]",['https://www.tayara.tn/mediaGateway/resize-image?img=c3/c356d3b0-0c88-4a94-97b7-2eb23a4e1532&w=300'],False,True,True
L'Aouina étage villa meublé à louer,2800,"Tunis, il y a 29 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=44/44a12b27-f286-4aeb-ae17-08e2aa60a6da&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/68062281c5beda2b51cbdcb2/Maisons%20et%20Villas/Tunis/L_Aouina/LAouina_tage_villa_meubl_louer_/,tayara.tn,2025-04-21,Tunis,,,,autre,residential,2 800 DT,"[10.185624494816505, 36.807193078166236]",['https://www.tayara.tn/mediaGateway/resize-image?img=44/44a12b27-f286-4aeb-ae17-08e2aa60a6da&w=300'],False,True,True
Bureau A+2 avec une vue panoramique à Ennasr 2,1000,"Ariana, il y a 30 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=46/46e14ebc-8835-4a9c-9e36-0a67df02441d&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/68062276c5beda2b51cbdca0/Bureaux%20et%20Plateaux/Ariana/Cit_Ennasr_2/Bureau_A2_avec_une_vue_panoramique_Ennasr_2/,tayara.tn,2025-04-21,Ariana,,,,autre,unknown,1 000 DT,"[10.184514346752042, 36.860881923789606]",['https://www.tayara.tn/mediaGateway/resize-image?img=46/46e14ebc-8835-4a9c-9e36-0a67df02441d&w=300'],False,True,True
☎️ 22333312 à louer appartement studio meublé location par jour nuitée tunis Ennasr شقة مفروشة s1 s2 s3,70,"Tunis, il y a 30 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=55/55b2d9d6-16e0-41e8-bd8f-93cdebb2de22&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/68062275c5beda2b51cbdc9c/Appartements/Tunis/Menzah/_22333312_louer_appartement_studio_meubl_location_par_jour_nuite_tunis_Ennasr_s1_s2_s3/,tayara.tn,2025-04-21,Tunis,,,,autre,residential,70 DT,"[10.190576466258628, 36.80163653907404]",['https://www.tayara.tn/mediaGateway/resize-image?img=55/55b2d9d6-16e0-41e8-bd8f-93cdebb2de22&w=300'],False,True,True
s plus 2 a ennasr 2 wb953,1260,"Ariana, il y a 30 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=ed/edfbedd2-93e4-4d3c-9b08-2c9763d25df9&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/68062267c5beda2b51cbdc8a/Appartements/Ariana/Ennasr/s_plus_2_a_ennasr_2_wb953/,tayara.tn,2025-04-21,Ariana,,,,autre,unknown,1 260 DT,"[10.197395017857353, 36.8578928250307]",['https://www.tayara.tn/mediaGateway/resize-image?img=ed/edfbedd2-93e4-4d3c-9b08-2c9763d25df9&w=300'],False,True,True
s plus 3 a la cité mahrajene wb3741,1400,"Tunis, il y a 30 minutes",https://www.tayara.tn/mediaGateway/resize-image?img=27/27bf4321-242d-413e-afcc-971be7fa04ae&w=300,https://www.tayara.tnhttps://www.tayara.tn/fr/item/68062266c1f8f57898ddd05d/Appartements/Tunis/Menzah/s_plus_3_a_la_cit_mahrajene_wb3741/,tayara.tn,2025-04-21,Tunis,,,,autre,unknown,1 400 DT,"[10.172985166639814, 36.80641457597651]",['https://www.tayara.tn/mediaGateway/resize-image?img=27/27bf4321-242d-413e-afcc-971be7fa04ae&w=300'],False,True,True
